,REF_DATE,GEO,Institution type,Credential type,Registration status,Sex,VALUE
493,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Sex unknown,
646,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),"Total, registration status","Total, sex",27672.0
647,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),"Total, registration status",Males,19473.0
648,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),"Total, registration status",Females,8196.0
649,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),"Total, registration status",Sex unknown,
650,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Full-time student,"Total, sex",22182.0
651,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Full-time student,Males,15588.0
652,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Full-time student,Females,6597.0
653,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Full-time student,Sex unknown,
654,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Part-time student,"Total, sex",5487.0
655,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Part-time student,Males,3888.0
656,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Part-time student,Females,1602.0
657,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Part-time student,Sex unknown,
807,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,"Total, registration status","Total, sex",
808,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,"Total, registration status",Males,
809,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,"Total, registration status",Females,
810,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,"Total, registration status",Sex unknown,
811,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Full-time student,"Total, sex",
812,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Full-time student,Males,
813,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Full-time student,Females,
814,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Part-time student,"Total, sex",
815,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Part-time student,Males,
816,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Part-time student,Females,
817,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Part-time student,Sex unknown,
951,1992/1993,Canada,"Total, institution type",Associate degree,"Total, registration status","Total, sex",
952,1992/1993,Canada,"Total, institution type",Associate degree,"Total, registration status",Males,
953,1992/1993,Canada,"Total, institution type",Associate degree,"Total, registration status",Females,
954,1992/1993,Canada,"Total, institution type",Associate degree,Full-time student,"Total, sex",
955,1992/1993,Canada,"Total, institution type",Associate degree,Full-time student,Males,
956,1992/1993,Canada,"Total, institution type",Associate degree,Full-time student,Females,
957,1992/1993,Canada,"Total, institution type",Associate degree,Part-time student,"Total, sex",
958,1992/1993,Canada,"Total, institution type",Associate degree,Part-time student,Males,
959,1992/1993,Canada,"Total, institution type",Associate degree,Part-time student,Females,
1096,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status","Total, sex",20853.0
1097,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status",Males,12894.0
1098,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status",Females,7956.0
1099,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status",Sex unknown,
1100,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,"Total, sex",16230.0
1101,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,Males,10725.0
1102,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,Females,5508.0
1103,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,Sex unknown,
1104,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Part-time student,"Total, sex",4620.0
1105,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Part-time student,Males,2172.0
1106,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Part-time student,Females,2451.0
1107,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Part-time student,Sex unknown,
1261,1992/1993,Canada,"Total, institution type","Not applicable, credential type","Total, registration status","Total, sex",519.0
1262,1992/1993,Canada,"Total, institution type","Not applicable, credential type","Total, registration status",Males,387.0
1263,1992/1993,Canada,"Total, institution type","Not applicable, credential type","Total, registration status",Females,135.0
1264,1992/1993,Canada,"Total, institution type","Not applicable, credential type","Total, registration status",Sex unknown,
1265,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Full-time student,"Total, sex",90.0
1266,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Full-time student,Males,66.0
1267,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Full-time student,Females,21.0
1268,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Full-time student,Sex unknown,
1269,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Part-time student,"Total, sex",432.0
1270,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Part-time student,Males,318.0
1271,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Part-time student,Females,111.0
1272,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Part-time student,Sex unknown,
1409,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status","Total, sex",
1410,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Males,
1411,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Females,
1412,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,"Total, sex",
1413,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Males,
1414,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Females,
1415,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,"Total, sex",
1416,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Males,
1417,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Females,
1585,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status","Total, sex",
1586,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Females,
1587,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,"Total, sex",
1588,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,Females,
1666,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status","Total, sex",
1667,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Males,
1668,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Females,
1669,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,"Total, sex",
1670,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Males,
1671,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Females,
1672,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,"Total, sex",
1673,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Males,
1674,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Females,
1938,1992/1993,Canada,"Total, institution type","Not applicable, credential type","Total, registration status","Total, sex",
1939,1992/1993,Canada,"Total, institution type","Not applicable, credential type","Total, registration status",Males,
1940,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Part-time student,"Total, sex",
1941,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Part-time student,Males,
2042,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status","Total, sex",
2043,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Males,
2044,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Females,
2045,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,"Total, sex",
2046,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Males,
2047,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Females,
2144,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status","Total, sex",
2145,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Males,
2146,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Females,
2147,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,"Total, sex",
2148,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Males,
2149,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Females,
2495,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status","Total, sex",20853.0
2496,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Males,12894.0
2497,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Females,7956.0
2498,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Sex unknown,
2499,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,"Total, sex",16230.0
2500,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Males,10725.0
2501,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Females,5508.0
2502,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Sex unknown,
2503,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,"Total, sex",4620.0
2504,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Males,2172.0
2505,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Females,2451.0
2506,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Sex unknown,
2662,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status","Total, sex",
2663,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Males,
2664,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Females,
2665,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Sex unknown,
2666,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,"Total, sex",
2667,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Males,
2668,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Females,
2669,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Sex unknown,
2670,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,"Total, sex",
2671,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,Males,
2672,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,Females,
2673,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,Sex unknown,
2829,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status","Total, sex",
2830,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Males,
2831,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Females,
2832,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Sex unknown,
2833,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,"Total, sex",
2834,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Males,
2835,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Females,
2836,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Sex unknown,
2837,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,"Total, sex",
2838,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Males,
2839,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Females,
2840,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Sex unknown,
2989,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,"Total, registration status","Total, sex",
2990,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,"Total, registration status",Males,
2991,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,"Total, registration status",Females,
2992,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,"Total, registration status",Sex unknown,
2993,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Full-time student,"Total, sex",
2994,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Full-time student,Males,
2995,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Full-time student,Females,
2996,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Part-time student,"Total, sex",
2997,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Part-time student,Males,
2998,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Part-time student,Females,
2999,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Part-time student,Sex unknown,
3145,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status","Total, sex",20853.0
3146,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status",Males,12894.0
3147,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status",Females,7956.0
3148,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status",Sex unknown,
3149,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,"Total, sex",16230.0
3150,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,Males,10725.0
3151,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,Females,5508.0
3152,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,Sex unknown,
3153,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Part-time student,"Total, sex",4620.0
3154,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Part-time student,Males,2172.0
3155,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Part-time student,Females,2451.0
3156,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Part-time student,Sex unknown,
3305,1992/1993,Canada,"Total, institution type","Not applicable, credential type","Total, registration status","Total, sex",
3306,1992/1993,Canada,"Total, institution type","Not applicable, credential type","Total, registration status",Males,
3307,1992/1993,Canada,"Total, institution type","Not applicable, credential type","Total, registration status",Females,
3308,1992/1993,Canada,"Total, institution type","Not applicable, credential type","Total, registration status",Sex unknown,
3309,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Full-time student,"Total, sex",
3310,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Full-time student,Males,
3311,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Full-time student,Females,
3312,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Full-time student,Sex unknown,
3313,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Part-time student,"Total, sex",
3314,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Part-time student,Males,
3315,1992/1993,Canada,"Total, institution type","Not applicable, credential type",Part-time student,Females,
3449,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status","Total, sex",
3450,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Males,
3451,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Females,
3452,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Sex unknown,
3453,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,"Total, sex",
3454,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Males,
3455,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Females,
3456,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Sex unknown,
3457,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,"Total, sex",
3458,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Males,
3459,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Females,
3595,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status","Total, sex",
3596,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Males,
3597,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Females,
3598,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Sex unknown,
3599,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,"Total, sex",
3600,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Males,
3601,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Females,
3602,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Sex unknown,
3603,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,"Total, sex",
3604,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,Males,
3605,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,Females,
3712,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status","Total, sex",
3713,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Males,
3714,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Females,
3715,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,"Total, sex",
3716,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Males,
3717,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Females,
3718,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,"Total, sex",
3719,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Males,
3720,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Females,
3928,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status","Total, sex",
3929,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Males,
3930,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Females,
3931,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,"Total, sex",
3932,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Males,
3933,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Females,
3934,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,"Total, sex",
3935,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Males,
3936,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Females,
4066,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status","Total, sex",
4067,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Males,
4068,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Females,
4069,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,"Total, sex",
4070,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Males,
4071,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Females,
4072,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,"Total, sex",
4073,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Males,
4074,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Females,
4221,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status","Total, sex",
4222,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Males,
4223,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Females,
4224,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,"Total, sex",
4225,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Males,
4226,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Females,
4323,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status","Total, sex",
4324,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status",Males,
4325,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status",Females,
4326,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,"Total, sex",
4327,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,Males,
4328,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,Females,
4553,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status","Total, sex",26868.0
4554,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Males,18708.0
4555,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Females,8157.0
4556,1992/1993,Canada,"Total, institution type","Total, credential type","Total, registration status",Sex unknown,
4557,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,"Total, sex",19071.0
4558,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Males,13518.0
4559,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Females,5553.0
4560,1992/1993,Canada,"Total, institution type","Total, credential type",Full-time student,Sex unknown,
4561,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,"Total, sex",7797.0
4562,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Males,5193.0
4563,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Females,2604.0
4564,1992/1993,Canada,"Total, institution type","Total, credential type",Part-time student,Sex unknown,
4720,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status","Total, sex",3552.0
4721,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Males,2118.0
4722,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Females,1434.0
4723,1992/1993,Canada,"Total, institution type",Certificate,"Total, registration status",Sex unknown,
4724,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,"Total, sex",366.0
4725,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Males,240.0
4726,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Females,126.0
4727,1992/1993,Canada,"Total, institution type",Certificate,Full-time student,Sex unknown,
4728,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,"Total, sex",3186.0
4729,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,Males,1878.0
4730,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,Females,1308.0
4731,1992/1993,Canada,"Total, institution type",Certificate,Part-time student,Sex unknown,
4863,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status","Total, sex",48.0
4864,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Males,6.0
4865,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Females,42.0
4866,1992/1993,Canada,"Total, institution type",Diploma,"Total, registration status",Sex unknown,
4867,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,"Total, sex",21.0
4868,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Males,6.0
4869,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Females,18.0
4870,1992/1993,Canada,"Total, institution type",Diploma,Full-time student,Sex unknown,
4871,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,"Total, sex",27.0
4872,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Males,3.0
4873,1992/1993,Canada,"Total, institution type",Diploma,Part-time student,Females,24.0
5017,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),"Total, registration status","Total, sex",23268.0
5018,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),"Total, registration status",Males,16584.0
5019,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),"Total, registration status",Females,6687.0
5020,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),"Total, registration status",Sex unknown,
5021,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Full-time student,"Total, sex",18684.0
5022,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Full-time student,Males,13272.0
5023,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Full-time student,Females,5412.0
5024,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Full-time student,Sex unknown,
5025,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Part-time student,"Total, sex",4587.0
5026,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Part-time student,Males,3312.0
5027,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Part-time student,Females,1275.0
5028,1992/1993,Canada,"Total, institution type",Degree (includes applied degree),Part-time student,Sex unknown,
5152,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,"Total, registration status","Total, sex",
5153,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,"Total, registration status",Males,
5154,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,"Total, registration status",Females,
5155,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Full-time student,"Total, sex",
5156,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Full-time student,Males,
5157,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Full-time student,Females,
5158,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Part-time student,"Total, sex",
5159,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Part-time student,Males,
5160,1992/1993,Canada,"Total, institution type",Attestation and other short program credentials,Part-time student,Females,
5280,1992/1993,Canada,"Total, institution type",Associate degree,"Total, registration status","Total, sex",
5281,1992/1993,Canada,"Total, institution type",Associate degree,"Total, registration status",Males,
5282,1992/1993,Canada,"Total, institution type",Associate degree,"Total, registration status",Females,
5283,1992/1993,Canada,"Total, institution type",Associate degree,Full-time student,"Total, sex",
5284,1992/1993,Canada,"Total, institution type",Associate degree,Full-time student,Males,
5285,1992/1993,Canada,"Total, institution type",Associate degree,Full-time student,Females,
5286,1992/1993,Canada,"Total, institution type",Associate degree,Part-time student,"Total, sex",
5287,1992/1993,Canada,"Total, institution type",Associate degree,Part-time student,Males,
5288,1992/1993,Canada,"Total, institution type",Associate degree,Part-time student,Females,
5373,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status","Total, sex",
5374,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,"Total, registration status",Females,
5375,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,"Total, sex",
5376,1992/1993,Canada,"Total, institution type",Other type of credential associated with a program,Full-time student,Females,
5462,1992/1993,Canada,"Total, institution type","Not applicable, credential type","Total, registration status","Total, sex",
